Deaths,Moves,Wins,Gamma,Time
119,200000,0,1.57,2.5883400440216064
132,200000,0,1.58,2.3257274627685547
137,200000,0,1.59,2.0740325450897217
149,200000,0,1.6,2.1882822513580322
132,200000,0,1.61,2.086069107055664
133,200000,0,1.62,2.334134578704834
140,200000,0,1.63,2.107560396194458
144,200000,0,1.64,2.325604200363159
134,200000,0,1.65,2.0218586921691895
130,200000,0,1.66,2.225400686264038
133,200000,0,1.67,2.2804951667785645
150,200000,0,1.68,2.5859875679016113
146,200000,0,1.69,2.428157091140747
167,200000,0,1.7,2.0723376274108887
130,200000,0,1.71,2.023789644241333
159,200000,0,1.72,2.726529121398926
151,200000,0,1.73,2.4398255348205566
145,200000,0,1.74,2.4303410053253174
191,200000,0,1.75,2.1019418239593506
123,200000,0,1.76,2.017239809036255
153,200000,0,1.77,2.747028350830078
156,200000,0,1.78,2.58516526222229
129,200000,0,1.79,2.017312526702881
147,200000,0,1.8,2.690014600753784
148,200000,0,1.81,2.237427234649658
141,200000,0,1.82,2.1036136150360107
139,200000,0,1.83,2.0891127586364746
155,200000,0,1.84,1.9833486080169678
136,200000,0,1.85,2.2359540462493896
157,200000,0,1.86,2.1211984157562256
168,200000,0,1.87,1.9984521865844727
133,200000,0,1.88,2.303246259689331
148,200000,0,1.89,2.035569667816162
137,200000,0,1.9,2.310889959335327
156,200000,0,1.91,2.1243245601654053
112,200000,0,1.92,2.022102117538452
139,200000,0,1.93,1.967928171157837
178,200000,0,1.94,1.9741733074188232
152,200000,0,1.95,1.8175311088562012
181,200000,0,1.96,1.8552436828613281
138,200000,0,1.97,1.8311827182769775
147,200000,0,1.98,1.7080976963043213
138,200000,0,1.99,1.528261661529541
145,200000,0,2.0,1.3229358196258545
17,200000,0,0.0,2.20867919921875
89,200000,0,0.01,2.2968556880950928
88,200000,0,0.02,2.129039764404297
91,200000,0,0.03,2.2174487113952637
87,200000,0,0.04,2.217236280441284
99,200000,0,0.05,2.2763428688049316
89,200000,0,0.06,2.485703229904175
101,200000,0,0.07,2.3876712322235107
94,200000,0,0.08,2.4121429920196533
108,200000,0,0.09,2.300996780395508
106,200000,0,0.1,2.354348659515381
118,200000,5,0.11,2.543642044067383
122,200000,24,0.12,2.424408197402954
117,200000,5,0.13,2.6876678466796875
122,200000,38,0.14,2.320587158203125
122,200000,23,0.15,2.342154026031494
122,200000,87,0.16,2.6084139347076416
122,200000,14,0.17,2.5020642280578613
122,34573,1000,0.18,1.2553257942199707
122,34101,1000,0.19,1.235802173614502
122,34103,1000,0.2,1.1806864738464355
122,34420,1000,0.21,1.1761720180511475
122,34584,1000,0.22,2.427030563354492
122,33572,1000,0.23,2.448969602584839
122,34504,1000,0.24,2.8327574729919434
122,34384,1000,0.25,2.863313674926758
122,34566,1000,0.26,3.801323175430298
122,34464,1000,0.27,3.754406690597534
122,34436,1000,0.28,3.982123613357544
122,34502,1000,0.29,4.062706232070923
122,34478,1000,0.3,4.048676013946533
122,34420,1000,0.31,4.198901653289795
122,34614,1000,0.32,4.304368257522583
122,34259,1000,0.33,4.3702287673950195
122,34736,1000,0.34,4.421640157699585
122,34724,1000,0.35,4.432323694229126
122,34438,1000,0.36,4.394947528839111
122,33963,1000,0.37,4.431023836135864
122,34317,1000,0.38,4.445870637893677
122,34779,1000,0.39,4.42229151725769
122,34825,1000,0.4,4.461120367050171
122,34712,1000,0.41,4.417723655700684
122,34651,1000,0.42,4.433320999145508
122,34660,1000,0.43,4.413667678833008
122,34883,1000,0.44,4.263296842575073
122,34601,1000,0.45,4.275533199310303
122,34489,1000,0.46,4.186669826507568
122,34199,1000,0.47,4.180675268173218
122,33911,1000,0.48,4.039879322052002
122,34512,1000,0.49,3.9881515502929688
122,34610,1000,0.5,4.035516977310181
122,34297,1000,0.51,3.9980247020721436
122,33941,1000,0.52,4.017346143722534
122,34495,1000,0.53,4.016803026199341
122,34115,1000,0.54,3.9267914295196533
122,34439,1000,0.55,3.9379019737243652
122,34518,1000,0.56,3.948549270629883
122,33867,1000,0.57,3.930901288986206
122,34892,1000,0.58,3.96886944770813
122,34082,1000,0.59,3.9634554386138916
122,34421,1000,0.6,3.991367816925049
122,34781,1000,0.61,3.973538398742676
122,34380,1000,0.62,3.958407163619995
122,34328,1000,0.63,3.931527614593506
122,34553,1000,0.64,3.9688479900360107
122,34266,1000,0.65,3.9567489624023438
122,34472,1000,0.66,3.940891742706299
122,34439,1000,0.67,3.946542501449585
122,34624,1000,0.68,3.9835164546966553
122,34624,1000,0.69,3.9723730087280273
122,34386,1000,0.7,3.950810670852661
122,34821,1000,0.71,3.9476988315582275
122,33936,1000,0.72,3.9832818508148193
122,34506,1000,0.73,3.9865975379943848
122,33848,1000,0.74,3.9899232387542725
122,34630,1000,0.75,3.9888815879821777
122,34369,1000,0.76,3.99886155128479
122,34137,1000,0.77,4.0043253898620605
122,34416,1000,0.78,4.013955593109131
122,33997,1000,0.79,4.018252372741699
122,34755,1000,0.8,4.020129203796387
122,34368,1000,0.81,4.034385442733765
122,34479,1000,0.82,4.008727312088013
122,34622,1000,0.83,4.058093547821045
122,34778,1000,0.84,4.049084663391113
122,34382,1000,0.85,4.063701152801514
122,34112,1000,0.86,4.02457594871521
122,34489,1000,0.87,4.046398878097534
122,34543,1000,0.88,4.1061999797821045
122,34145,1000,0.89,4.071496963500977
122,34415,1000,0.9,4.133078575134277
122,34173,1000,0.91,4.150291442871094
122,34208,1000,0.92,4.2144012451171875
122,34308,1000,0.93,4.234664678573608
122,34442,1000,0.94,4.291588544845581
122,34310,1000,0.95,4.284060955047607
122,33977,1000,0.96,4.278720855712891
122,34002,1000,0.97,4.324155569076538
122,34459,1000,0.98,4.305562496185303
122,34115,1000,0.99,4.367340803146362
122,34226,1000,1.0,4.374395370483398
122,34333,1000,1.01,4.3829505443573
122,34644,1000,1.02,4.35863184928894
122,34241,1000,1.03,4.371046304702759
122,34139,1000,1.04,4.370077610015869
122,34182,1000,1.05,4.3395020961761475
122,34543,1000,1.06,4.355475425720215
122,34328,1000,1.07,4.3290252685546875
122,34487,1000,1.08,4.328935384750366
122,34598,1000,1.09,4.364719867706299
122,34544,1000,1.1,3.9730474948883057
122,34461,1000,1.11,3.943934679031372
122,34611,1000,1.12,3.578888177871704
122,34347,1000,1.13,3.5677127838134766
168,34114,1000,1.14,2.906864881515503
332,33295,1000,1.15,3.055511474609375
124,200000,11,1.16,2.5469281673431396
124,200000,11,1.17,2.716827154159546
128,200000,8,1.18,3.0591652393341064
129,200000,5,1.19,3.116419792175293
137,200000,8,1.2,2.68296480178833
141,200000,5,1.21,2.907804012298584
127,200000,5,1.22,2.724639415740967
141,200000,5,1.23,3.4159905910491943
134,200000,5,1.24,3.2675044536590576
130,200000,3,1.25,2.6912100315093994
130,200000,3,1.26,3.1253018379211426
153,200000,3,1.27,2.5618815422058105
139,200000,3,1.28,2.601447343826294
130,200000,0,1.29,2.6320369243621826
139,200000,1,1.3,2.4664430618286133
126,200000,0,1.31,3.3231234550476074
133,200000,0,1.32,2.2284669876098633
118,200000,0,1.33,2.7632992267608643
136,200000,0,1.34,2.2305386066436768
116,200000,0,1.35,2.497239112854004
121,200000,0,1.36,2.2400436401367188
140,200000,0,1.37,2.5181119441986084
134,200000,0,1.38,2.7000179290771484
129,200000,0,1.39,2.9176979064941406
134,200000,0,1.4,2.177063226699829
123,200000,0,1.41,2.161447763442993
112,200000,0,1.42,2.39819073677063
111,200000,0,1.43,2.1288857460021973
114,200000,0,1.44,2.1062750816345215
152,200000,0,1.45,2.142380714416504
105,200000,0,1.46,2.930927276611328
119,200000,0,1.47,2.3676748275756836
133,200000,0,1.48,2.159902334213257
136,200000,0,1.49,3.239966630935669
123,200000,0,1.5,2.5863072872161865
135,200000,0,1.51,2.5169925689697266
154,200000,0,1.52,2.46229887008667
131,200000,0,1.53,2.5441055297851562
174,200000,0,1.54,2.167186975479126
113,200000,0,1.55,2.3600306510925293
130,200000,0,1.56,2.5154101848602295
144,200000,0,1.57,2.4286110401153564
151,200000,0,1.58,2.286759853363037
129,200000,0,1.59,2.3379862308502197
134,200000,0,1.6,2.096327304840088
163,200000,0,1.61,2.08221173286438
117,200000,0,1.62,2.058178424835205
147,200000,0,1.63,2.381884813308716
137,200000,0,1.64,2.502678394317627
121,200000,0,1.65,2.242058277130127
